NORAD_CAT_ID,OBJECT_NAME,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
48458,STARLINK-2698,2026-03-02T03:08:27.599136,15.31034919,0.00016870,53.1594,213.9435,82.8275,277.2918,1 48458U 21040AG  26061.13087499  .00002623  00000-0  98194-4 0  9990,2 48458  53.1594 213.9435 0001687  82.8275 277.2918 15.31034919266230
48458,STARLINK-2698,2026-03-02T14:06:28.759104,15.31029223,0.00020788,53.1592,211.8202,84.8087,275.3151,1 48458U 21040AG  26061.58783286 -.00000540  00000-0 -58288-5 0  9995,2 48458  53.1592 211.8202 0002079  84.8087 275.3151 15.31029223266304
48458,STARLINK-2698,2026-03-02T18:48:29.254752,15.31018098,0.00013800,53.1607,210.9078,83.3284,276.7874,1 48458U 21040AG  26061.78367193 -.00003213  00000-0 -93862-4 0  9998,2 48458  53.1607 210.9078 0001380  83.3284 276.7874 15.31018098266337
48458,STARLINK-2698,2026-03-02T18:48:29.255616,15.31018098,0.00013802,53.1607,210.9078,83.3284,276.7874,1 48458U 21040AG  26061.78367194 -.00003213  00000-0 -93862-4 0  9999,2 48458  53.1607 210.9078 0001380  83.3284 276.7874 15.31018098266337
48458,STARLINK-2698,2026-03-03T08:54:30.015072,15.31031279,0.00013550,53.1617,208.1748,99.6827,260.4327,1 48458U 21040AG  26062.37118073 -.00001660  00000-0 -42689-4 0  9990,2 48458  53.1617 208.1748 0001355  99.6827 260.4327 15.31031279266425
48458,STARLINK-2698,2026-03-03T15:10:30.155808,15.31037474,0.00012787,53.1606,206.9632,84.7509,275.3638,1 48458U 21040AG  26062.63229347  .00000652  00000-0  33362-4 0  9992,2 48458  53.1606 206.9632 0001279  84.7509 275.3638 15.31037474266465
48458,STARLINK-2698,2026-03-03T16:44:30.157728,15.31039729,0.00013140,53.1607,206.6592,90.4747,269.6404,1 48458U 21040AG  26062.69757127  .00001558  00000-0  63160-4 0  9995,2 48458  53.1607 206.6592 0001314  90.4747 269.6404 15.31039729266479
48458,STARLINK-2698,2026-03-03T16:44:30.158592,15.31039729,0.00013137,53.1607,206.6592,90.4748,269.6404,1 48458U 21040AG  26062.69757128  .00001558  00000-0  63160-4 0  9996,2 48458  53.1607 206.6592 0001314  90.4748 269.6404 15.31039729266470
48458,STARLINK-2698,2026-03-04T09:58:31.341792,15.31039199,0.00011400,53.1601,203.3200,93.6137,266.4995,1 48458U 21040AG  26063.41564053  .00005604  00000-0  19613-3 0  9999,2 48458  53.1601 203.3200 0001140  93.6137 266.4995 15.31039199266581
48458,STARLINK-2698,2026-03-04T09:58:31.341792,15.31039199,0.00011400,53.1601,203.3200,93.6137,266.4995,1 48458U 21040AG  26063.41564053  .00005604  00000-0  19613-3 0  9999,2 48458  53.1601 203.3200 0001140  93.6137 266.4995 15.31039199266581
48458,STARLINK-2698,2026-03-05T01:38:32.928288,15.31023309,0.00009670,53.1588,200.2843,91.2560,268.8552,1 48458U 21040AG  26064.06843667 -.00001539  00000-0 -38745-4 0  9995,2 48458  53.1588 200.2843 0000967  91.2560 268.8552 15.31023309266686
