analysis_split,freshness_bin,geometry_dimension,geometry_level,metric,n,median,p90
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,RISING_25_PERCENT,score_orbit_hz,80,10.648066681836823,72.50931167452453
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,RISING_25_PERCENT,abs_delta_k_orbit_hz_per_s,80,9.353918554113381,26.10448441210405
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,SETTING_75_PERCENT,raw_rms_hz,79,945.7059565152322,2447.956783688851
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,SETTING_75_PERCENT,score_orbit_hz,79,12.41249250747499,76.262896961466
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,SETTING_75_PERCENT,abs_delta_k_orbit_hz_per_s,79,9.55588536325553,27.798414108744396
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,PEAK,raw_rms_hz,62,2368.9630644447843,7214.104672131841
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,PEAK,score_orbit_hz,62,55.76407828649238,419.77931899790894
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,PEAK,abs_delta_k_orbit_hz_per_s,62,0.8008495900190933,4.586360350658759
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,RISING_25_PERCENT,raw_rms_hz,62,1137.2634509060572,2893.9643738803625
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,RISING_25_PERCENT,score_orbit_hz,62,15.592624174350828,82.83617589413115
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,RISING_25_PERCENT,abs_delta_k_orbit_hz_per_s,62,9.334773511397405,32.563277906219156
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,SETTING_75_PERCENT,raw_rms_hz,62,1105.0727138743146,2999.623589689391
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,SETTING_75_PERCENT,score_orbit_hz,62,15.084860967049682,82.38445104999673
EXPLORATORY_APRIL_MAY,24-36 h,phase_label,SETTING_75_PERCENT,abs_delta_k_orbit_hz_per_s,62,9.397860094077506,33.417887201183134
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,PEAK,raw_rms_hz,80,799.7281266995969,1814.176043451427
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,PEAK,score_orbit_hz,80,38.89636486289612,114.090144688267
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,PEAK,abs_delta_k_orbit_hz_per_s,80,0.7073150300903962,2.47188352050257
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,RISING_25_PERCENT,raw_rms_hz,80,209.51781899712276,601.0461929431347
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,RISING_25_PERCENT,score_orbit_hz,80,6.33056413304662,20.233940799869945
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,RISING_25_PERCENT,abs_delta_k_orbit_hz_per_s,80,3.225251398989287,8.145312200956788
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,SETTING_75_PERCENT,raw_rms_hz,80,235.83459692288898,632.5779464126508
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,SETTING_75_PERCENT,score_orbit_hz,80,6.553673611833133,20.460338886250334
EXPLORATORY_APRIL_MAY,6-9 h,phase_label,SETTING_75_PERCENT,abs_delta_k_orbit_hz_per_s,80,3.564248275403812,8.388416757659272
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,PEAK,raw_rms_hz,80,809.1782761722867,2838.7831741192504
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,PEAK,score_orbit_hz,80,18.458610281651076,195.8080701218933
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,PEAK,abs_delta_k_orbit_hz_per_s,80,0.3108572761196725,1.273057851725828
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,RISING_25_PERCENT,raw_rms_hz,80,488.3226041454916,1258.5123682756016
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,RISING_25_PERCENT,score_orbit_hz,80,5.17282357503851,29.057612776026083
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,RISING_25_PERCENT,abs_delta_k_orbit_hz_per_s,80,3.5003870867724673,10.366336457279235
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,SETTING_75_PERCENT,raw_rms_hz,80,453.3356823349029,1274.5739115190033
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,SETTING_75_PERCENT,score_orbit_hz,80,5.607431013370805,28.80986518452492
EXPLORATORY_APRIL_MAY,9-12 h,phase_label,SETTING_75_PERCENT,abs_delta_k_orbit_hz_per_s,80,3.513437518740635,10.56387333334849
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,44714,raw_rms_hz,12,191.4715044949893,484.08219112964935
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,44714,score_orbit_hz,12,7.895037847529306,21.561762229961197
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,44714,abs_delta_k_orbit_hz_per_s,12,1.0035863864743355,5.8593437543613875
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,45230,raw_rms_hz,12,103.48945506051595,197.8192999465754
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,45230,score_orbit_hz,12,2.3414621986301287,16.133291990564864
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,45230,abs_delta_k_orbit_hz_per_s,12,0.6857298956416644,1.3518823325905083
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47383,raw_rms_hz,12,120.54409333985643,254.91877114672323
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47383,score_orbit_hz,12,2.4935589187654985,18.536583236663635
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47383,abs_delta_k_orbit_hz_per_s,12,0.8359953510641489,3.1042173497983248
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47749,raw_rms_hz,10,195.67720087015962,401.8453959946815
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47749,score_orbit_hz,10,4.901253569332598,41.566472734360154
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47749,abs_delta_k_orbit_hz_per_s,10,0.8548111528772838,1.4803958993485087
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47767,raw_rms_hz,12,154.57305216113113,363.8231838744193
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47767,score_orbit_hz,12,1.9158186602093303,7.9795912404385225
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47767,abs_delta_k_orbit_hz_per_s,12,0.9776396129069543,2.3431104939832457
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47844,raw_rms_hz,12,314.6408684973195,721.071233907558
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,47844,score_orbit_hz,12,7.682939334013721,54.02816530974637
