experiment_family,orbit_unit_id,A_id,A_name,B_class,B_identity_or_perturbation_definition,segment_or_pass_id,evaluation_time,selected_causal_A_GP_ID,selected_causal_A_GP_EPOCH,selected_causal_A_GP_CREATION_DATE,A_causal_GP_reconstructable,B_reconstructable,randomness_reconstructable,primary_or_sensitivity_role,include_in_R3,exclusion_reason,selection_uses_causal_A_result,selection_rule,A_reconstruction_rule,B_reconstruction_rule,planned_primary_realization_rows,planned_endpoint_rows,planned_diagnostic_rows,planned_sensitivity_rows_available_not_in_core_R3
active_compensation_first_pass,orbit_unit_564d0c7d33492d7174a4c984,65686,STARLINK-35137,REAL_B,48309,full_pass:65686,2026-03-10T13:17:56.500000Z,315485957,2026-03-10T00:29:40.547616Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_56d26dde1e75e9a35b0af9c6,44714,STARLINK-1008,REAL_B,47844,full_pass:44714,2026-03-10T02:36:50.500000Z,315393241,2026-03-09T13:49:15.828096Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_58e446dfbfb08a5190123a54,65686,STARLINK-35137,REAL_B,45230,full_pass:65686,2026-03-10T13:17:56.500000Z,315485957,2026-03-10T00:29:40.547616Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_59dab0f2b7a05c64699154bb,65410,STARLINK-35024,REAL_B,65411,full_pass:65410,2026-03-10T06:43:17.500000Z,315434688,2026-03-09T16:20:35.643840Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_5a59587eea3a53e86c0d8f3e,47749,STARLINK-2163,REAL_B,65686,full_pass:47749,2026-03-10T04:40:56Z,315422051,2026-03-09T15:51:19.111968Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_5c53796b465bd74160b09abe,45230,STARLINK-1227,REAL_B,65686,full_pass:45230,2026-03-10T15:10:45Z,315473124,2026-03-10T05:29:47.380704Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_5e4b5225be698e8df55c6382,48309,STARLINK-2517,REAL_B,47383,full_pass:48309,2026-03-10T01:24:47Z,315394250,2026-03-09T20:00:00.999360Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_5f74b87c88ce26a869b02d29,47383,STARLINK-2103,REAL_B,65409,full_pass:47383,2026-03-10T15:51:15Z,315494855,2026-03-10T06:10:56.016192Z,2026-03-10T15:47:10Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_5fd8bdd961cbabb35eae6be3,65421,STARLINK-35146,REAL_B,65411,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_60e2a65912173114d3c91bf7,65686,STARLINK-35137,REAL_B,47383,full_pass:65686,2026-03-10T13:17:56.500000Z,315485957,2026-03-10T00:29:40.547616Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
