analysis_split,freshness_bin,metric,n,median,p90,p95,p99,minimum,maximum,p99_support_status
CONFIRMATORY_JUNE,12-18 h,score_orbit_hz,120,40.776659996689986,345.13117263861193,688.1092652423229,1528.9069683457176,0.839609939804847,3431.4131984012497,REPORTED
CONFIRMATORY_JUNE,12-18 h,explained_fraction,120,0.9964858718686602,0.999882151250296,0.9999643652044877,0.9999961039679035,0.981966114784519,0.9999968787384574,REPORTED
CONFIRMATORY_JUNE,18-24 h,raw_rms_hz,120,947.7094043472339,4248.096083871184,7370.068395562384,21902.410704828035,14.73329353677772,32208.9439061369,REPORTED
CONFIRMATORY_JUNE,18-24 h,abs_delta_b_orbit_hz,120,903.6785442477365,4245.711931247398,7343.515717287531,21654.047095353173,14.023210775656777,32198.69273057531,REPORTED
CONFIRMATORY_JUNE,18-24 h,abs_delta_k_orbit_hz_per_s,120,4.566431692275721,25.129360499661928,35.78170805769708,153.21440877988806,0.0415884556561028,188.87126298689583,REPORTED
CONFIRMATORY_JUNE,18-24 h,score_orbit_hz,120,18.52248847433986,141.04339217544373,264.10545359972696,831.7436987640049,0.2418047938287227,1069.0414680750057,REPORTED
CONFIRMATORY_JUNE,18-24 h,explained_fraction,120,0.9996826395079292,0.9999774638845933,0.9999889116469128,0.9999963404988843,0.9766063184480936,0.999996819928469,REPORTED
CONFIRMATORY_JUNE,24-36 h,raw_rms_hz,114,2210.961561713825,7640.605758516399,9491.033078080078,12633.450233217005,44.964153759277146,18395.050774592102,REPORTED
CONFIRMATORY_JUNE,24-36 h,abs_delta_b_orbit_hz,114,2113.6535469274045,7633.575586112598,9466.274502557215,12494.973526321166,41.98225781174956,18372.111879348748,REPORTED
CONFIRMATORY_JUNE,24-36 h,abs_delta_k_orbit_hz_per_s,114,7.657081536878543,43.49673462584814,53.058660011906795,83.36053046917336,0.0001003551836219,99.45420113810157,REPORTED
CONFIRMATORY_JUNE,24-36 h,score_orbit_hz,114,40.59480159100032,348.3409262982023,623.7835542568937,914.8183230794889,0.5186501235648225,1962.0773275806453,REPORTED
CONFIRMATORY_JUNE,24-36 h,explained_fraction,114,0.9988907259012503,0.9999713208486221,0.9999885347536994,0.9999969525918679,0.976719366603562,0.9999971348326492,REPORTED
ALL_DESCRIPTIVE,0-6 h,raw_rms_hz,351,176.732267092552,830.885859583119,1225.9600011490134,2366.2305358019885,1.0415165984143675,6210.565305047469,REPORTED
ALL_DESCRIPTIVE,0-6 h,abs_delta_b_orbit_hz,351,171.03326234661162,830.8371158975068,1221.758714238151,2358.3860616996635,0.4479690926973936,6197.061174830452,REPORTED
ALL_DESCRIPTIVE,0-6 h,abs_delta_k_orbit_hz_per_s,351,1.419007543304622,4.786652582855471,6.636574872973609,15.994814902900208,0.0129686714668616,24.81319493990233,REPORTED
ALL_DESCRIPTIVE,0-6 h,score_orbit_hz,351,6.666582922114,56.61932200586369,83.61417980780992,185.22428514526723,0.0288832954538178,470.5035050335976,REPORTED
ALL_DESCRIPTIVE,0-6 h,explained_fraction,351,0.9972187618893562,0.9999343775262372,0.9999754433105583,0.9999948548002213,0.9418818898657416,0.9999969134533756,REPORTED
ALL_DESCRIPTIVE,6-9 h,raw_rms_hz,359,333.335331122749,1432.6879634450875,1975.9310575141683,9589.177079980289,4.556410717605296,58217.48759898815,REPORTED
ALL_DESCRIPTIVE,6-9 h,abs_delta_b_orbit_hz,359,314.37892529221824,1430.251412319746,1974.0331044931872,9272.913726557746,3.679640160232292,57926.99044358924,REPORTED
ALL_DESCRIPTIVE,6-9 h,abs_delta_k_orbit_hz_per_s,359,1.868892442631634,8.396822288529325,10.84360378043478,99.11810153880909,0.0002740234625143,231.13876103290747,REPORTED
ALL_DESCRIPTIVE,6-9 h,score_orbit_hz,359,10.889235628115689,83.47555757905657,120.11880336785013,445.35735914036024,0.0652495861053066,4277.222598182923,REPORTED
ALL_DESCRIPTIVE,6-9 h,explained_fraction,359,0.9977510876714072,0.9998890903455409,0.9999690737053112,0.9999951012643322,0.961467324390011,0.999997486127354,REPORTED
ALL_DESCRIPTIVE,9-12 h,raw_rms_hz,357,540.7612104379438,2423.711622138274,3689.13424300323,9011.196088967234,8.968230346766383,41697.763420152485,REPORTED
ALL_DESCRIPTIVE,9-12 h,abs_delta_b_orbit_hz,357,530.2857056914783,2416.3165864350362,3635.889759088731,8997.628799926257,7.909707491515112,41541.269196119465,REPORTED
ALL_DESCRIPTIVE,9-12 h,abs_delta_k_orbit_hz_per_s,357,1.554364486726613,10.726690909165296,26.465892443361895,103.46806681391628,0.0018267866040839,145.4767351270542,REPORTED
ALL_DESCRIPTIVE,9-12 h,score_orbit_hz,357,8.740851362284252,97.55649780229038,219.74627200847388,549.2250834321833,0.0856182053959624,3306.863309563136,REPORTED
ALL_DESCRIPTIVE,9-12 h,explained_fraction,357,0.9997602936902428,0.9999775373973505,0.9999883023178691,0.9999964182911745,0.9817763373998692,0.9999973777934802,REPORTED
ALL_DESCRIPTIVE,12-18 h,raw_rms_hz,362,635.9261997848514,3407.2261922878224,4744.959889894463,10992.979227633556,9.258922916725975,361020.0127736746,REPORTED
ALL_DESCRIPTIVE,12-18 h,abs_delta_b_orbit_hz,362,611.7997751392301,3393.433995328184,4731.672652505653,10960.666513609327,3.435331000656377,361003.35740408336,REPORTED
