satellite_norad_id,month,freshness_bin,satellite_name,analysis_role,segment_units,selected_passes,min_age_h,median_age_h,max_age_h,support_status
65410,2026-06,12-18 h,STARLINK-35024,CONFIRMATORY,6,2,12.840762604444445,12.92877824,13.020404986666666,AVAILABLE
65410,2026-06,18-24 h,STARLINK-35024,CONFIRMATORY,6,2,19.28120312,21.38518487111111,23.493611066666666,AVAILABLE
65410,2026-06,24-36 h,STARLINK-35024,CONFIRMATORY,6,2,25.061666622222223,25.9081944,26.75472217777778,AVAILABLE
47749,2026-04,0-6 h,STARLINK-2163,EXPLORATORY,5,2,3.123055831111111,5.535555848888889,5.564722515555556,AVAILABLE
47749,2026-04,6-9 h,STARLINK-2163,EXPLORATORY,6,2,7.124444497777778,7.681791604444444,8.238583155555556,AVAILABLE
47749,2026-04,9-12 h,STARLINK-2163,EXPLORATORY,6,2,9.801083155555556,10.462074204444445,11.149176364444445,AVAILABLE
47749,2026-04,12-18 h,STARLINK-2163,EXPLORATORY,7,3,12.63646423111111,17.432773937777778,17.524532373333333,AVAILABLE
47749,2026-04,18-24 h,STARLINK-2163,EXPLORATORY,6,2,19.000199875555555,19.069171679999997,19.12092126222222,AVAILABLE
47749,2026-04,24-36 h,STARLINK-2163,EXPLORATORY,0,0,,,,LIMITED_SUPPORT
47749,2026-05,0-6 h,STARLINK-2163,EXPLORATORY,5,2,3.4641581155555556,3.5188803377777775,5.081748728888889,AVAILABLE
47749,2026-05,6-9 h,STARLINK-2163,EXPLORATORY,6,2,7.9711975822222225,8.030980613333334,8.101041422222222,AVAILABLE
47749,2026-05,9-12 h,STARLINK-2163,EXPLORATORY,6,2,9.566753377777777,10.398003377777778,11.229253377777779,AVAILABLE
47749,2026-05,12-18 h,STARLINK-2163,EXPLORATORY,7,3,12.740976088888889,14.156307351111112,15.774362906666667,AVAILABLE
47749,2026-05,18-24 h,STARLINK-2163,EXPLORATORY,6,2,18.934640684444446,19.765474017777777,20.59019624,AVAILABLE
47749,2026-05,24-36 h,STARLINK-2163,EXPLORATORY,6,2,34.18195967111111,34.99862633777778,35.82807078222222,AVAILABLE
47749,2026-06,0-6 h,STARLINK-2163,CONFIRMATORY,6,2,4.598611386666667,4.857639071111111,5.079444533333333,AVAILABLE
47749,2026-06,6-9 h,STARLINK-2163,CONFIRMATORY,6,2,6.182222497777778,6.233055711111112,6.285277813333333,AVAILABLE
47749,2026-06,9-12 h,STARLINK-2163,CONFIRMATORY,6,2,9.405277813333333,10.220833368888888,11.034722257777778,AVAILABLE
47749,2026-06,12-18 h,STARLINK-2163,CONFIRMATORY,6,2,12.42595736888889,13.201651813333335,14.022624035555555,AVAILABLE
47749,2026-06,18-24 h,STARLINK-2163,CONFIRMATORY,6,2,18.97583336888889,19.174999973333335,19.375833244444443,AVAILABLE
47749,2026-06,24-36 h,STARLINK-2163,CONFIRMATORY,6,2,26.857778133333333,27.665417022222222,28.476389244444444,AVAILABLE
47383,2026-04,0-6 h,STARLINK-2103,EXPLORATORY,6,2,3.3912264,4.2299764,5.076504177777778,AVAILABLE
47383,2026-04,6-9 h,STARLINK-2103,EXPLORATORY,6,2,6.683993697777778,7.530521355555555,8.367604568888888,AVAILABLE
47383,2026-04,9-12 h,STARLINK-2103,EXPLORATORY,6,2,9.65509216,10.490369937777778,11.337036604444444,AVAILABLE
47383,2026-04,12-18 h,STARLINK-2103,EXPLORATORY,6,2,12.918376284444445,13.76518184,14.61032072888889,AVAILABLE
47383,2026-04,18-24 h,STARLINK-2103,EXPLORATORY,6,2,19.303366506666666,19.329476004444444,19.35197439111111,AVAILABLE
47383,2026-04,24-36 h,STARLINK-2103,EXPLORATORY,0,0,,,,LIMITED_SUPPORT
47383,2026-05,0-6 h,STARLINK-2103,EXPLORATORY,6,2,2.0450635377777777,3.5482380666666664,5.0619681511111105,AVAILABLE
47383,2026-05,6-9 h,STARLINK-2103,EXPLORATORY,6,2,6.66711416,7.512391937777778,8.351558604444444,AVAILABLE
47383,2026-05,9-12 h,STARLINK-2103,EXPLORATORY,6,2,9.91585184888889,10.581001275555556,11.279761813333332,AVAILABLE
47383,2026-05,12-18 h,STARLINK-2103,EXPLORATORY,6,2,14.502856773333333,15.34827344,16.18591232888889,AVAILABLE
47383,2026-05,18-24 h,STARLINK-2103,EXPLORATORY,6,2,19.246848355555553,19.3005498,19.333417911111113,AVAILABLE
47383,2026-05,24-36 h,STARLINK-2103,EXPLORATORY,6,2,26.87918518222222,27.717240737777775,28.562518515555553,AVAILABLE
47383,2026-06,0-6 h,STARLINK-2103,CONFIRMATORY,6,2,3.28194448,4.168241382222222,5.090649395555555,AVAILABLE
47383,2026-06,6-9 h,STARLINK-2103,CONFIRMATORY,6,2,6.658704951111111,7.486097395555555,8.31237872888889,AVAILABLE
47383,2026-06,9-12 h,STARLINK-2103,CONFIRMATORY,6,2,9.624863164444445,10.441529831111112,11.287085386666666,AVAILABLE
47383,2026-06,12-18 h,STARLINK-2103,CONFIRMATORY,6,2,12.854307368888888,13.699724035555555,14.545140702222222,AVAILABLE
47383,2026-06,18-24 h,STARLINK-2103,CONFIRMATORY,6,2,19.20650528,20.05136639111111,20.86900528,AVAILABLE
47383,2026-06,24-36 h,STARLINK-2103,CONFIRMATORY,6,2,33.087640702222224,33.89514070222222,34.74208514666667,AVAILABLE
65411,2026-04,0-6 h,STARLINK-34983,EXPLORATORY,6,2,5.010719191111111,5.0440266977777775,5.077611982222223,AVAILABLE
65411,2026-04,6-9 h,STARLINK-34983,EXPLORATORY,6,2,6.6420077866666665,7.489091119999999,8.335063342222222,AVAILABLE
65411,2026-04,9-12 h,STARLINK-34983,EXPLORATORY,6,2,9.907285564444445,10.617629888888889,11.350751991111112,AVAILABLE
65411,2026-04,12-18 h,STARLINK-34983,EXPLORATORY,6,2,12.92214088,13.769085324444445,14.613807546666667,AVAILABLE
65411,2026-04,18-24 h,STARLINK-34983,EXPLORATORY,6,2,22.256059004444445,23.103697893333333,23.95133678222222,AVAILABLE
65411,2026-04,24-36 h,STARLINK-34983,EXPLORATORY,6,2,25.31971124444444,26.134711244444443,26.982766799999997,AVAILABLE
65411,2026-05,0-6 h,STARLINK-34983,EXPLORATORY,6,2,4.959373582222223,5.01922708,5.084636133333333,AVAILABLE
65411,2026-05,6-9 h,STARLINK-34983,EXPLORATORY,6,2,6.6781075111111114,7.523524177777778,8.359218622222222,AVAILABLE
65411,2026-05,9-12 h,STARLINK-34983,EXPLORATORY,6,2,9.639423582222221,10.466923462222223,11.312756675555557,AVAILABLE
65411,2026-05,12-18 h,STARLINK-34983,EXPLORATORY,6,2,12.882201120000001,13.72845112,14.57470112,AVAILABLE
65411,2026-05,18-24 h,STARLINK-34983,EXPLORATORY,6,2,19.031936266666666,19.852352933333332,20.698602933333333,AVAILABLE
65411,2026-05,24-36 h,STARLINK-34983,EXPLORATORY,6,2,25.528602933333335,28.570912866666667,31.595167244444443,AVAILABLE
65411,2026-06,0-6 h,STARLINK-34983,CONFIRMATORY,6,2,5.02825248,5.060999031111111,5.0940233600000004,AVAILABLE
65411,2026-06,6-9 h,STARLINK-34983,CONFIRMATORY,6,2,6.664301137777778,7.509717804444444,8.349578915555556,AVAILABLE
65411,2026-06,9-12 h,STARLINK-34983,CONFIRMATORY,6,2,9.897389964444445,9.921155804444446,9.93825497777778,AVAILABLE
65411,2026-06,12-18 h,STARLINK-34983,CONFIRMATORY,6,2,15.96376000888889,16.81028778666667,17.656815564444447,AVAILABLE
65411,2026-06,18-24 h,STARLINK-34983,CONFIRMATORY,6,2,19.22598223111111,20.07167667555556,20.896815564444445,AVAILABLE
65411,2026-06,24-36 h,STARLINK-34983,CONFIRMATORY,6,2,26.871951004444448,30.814755924444448,34.76172751111111,AVAILABLE
48309,2026-04,0-6 h,STARLINK-2517,EXPLORATORY,6,2,3.480463102222222,4.2755855333333335,5.070430186666667,AVAILABLE
48309,2026-04,6-9 h,STARLINK-2517,EXPLORATORY,6,2,8.087721448888889,8.214467808888887,8.346491946666665,AVAILABLE
48309,2026-04,9-12 h,STARLINK-2517,EXPLORATORY,6,2,9.639719644444446,10.458469644444445,11.305552977777777,AVAILABLE
48309,2026-04,12-18 h,STARLINK-2517,EXPLORATORY,6,2,12.774208337777777,13.597402782222222,14.44393056,AVAILABLE
