month,analysis_role,satellite_norad_id,satellite_name,freshness_bin,candidate_pass_count,eligible_pass_count,selected_pass_count,selected_segment_count,status,preselection_failure_counts
2026-04,EXPLORATORY,47844,STARLINK-2446,6-9 h,153,26,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47844,STARLINK-2446,9-12 h,153,36,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47844,STARLINK-2446,12-18 h,153,73,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47844,STARLINK-2446,18-24 h,153,6,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47844,STARLINK-2446,24-36 h,153,3,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47767,STARLINK-2185,0-6 h,147,8,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47767,STARLINK-2185,6-9 h,147,21,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47767,STARLINK-2185,9-12 h,147,37,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47767,STARLINK-2185,12-18 h,147,67,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47767,STARLINK-2185,18-24 h,147,11,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47767,STARLINK-2185,24-36 h,147,1,1,3,LIMITED_SUPPORT,"{""NO_REFERENCE_WITHIN_3H"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65405,STARLINK-34830,0-6 h,152,4,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,65405,STARLINK-34830,6-9 h,152,17,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,65405,STARLINK-34830,9-12 h,152,28,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,65405,STARLINK-34830,12-18 h,152,87,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,65405,STARLINK-34830,18-24 h,152,10,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,65405,STARLINK-34830,24-36 h,152,6,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48111,STARLINK-2448,0-6 h,148,5,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48111,STARLINK-2448,6-9 h,148,17,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48111,STARLINK-2448,9-12 h,148,38,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48111,STARLINK-2448,12-18 h,148,77,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48111,STARLINK-2448,18-24 h,148,6,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48111,STARLINK-2448,24-36 h,148,5,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48672,STARLINK-2705,0-6 h,148,19,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48672,STARLINK-2705,6-9 h,148,29,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48672,STARLINK-2705,9-12 h,148,24,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48672,STARLINK-2705,12-18 h,148,66,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48672,STARLINK-2705,18-24 h,148,9,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48672,STARLINK-2705,24-36 h,148,0,0,0,LIMITED_SUPPORT,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65693,STARLINK-35060,0-6 h,152,5,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 2}"
2026-04,EXPLORATORY,65693,STARLINK-35060,6-9 h,152,21,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 2}"
2026-04,EXPLORATORY,65693,STARLINK-35060,9-12 h,152,29,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 2}"
2026-04,EXPLORATORY,65693,STARLINK-35060,12-18 h,152,79,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 2}"
2026-04,EXPLORATORY,65693,STARLINK-35060,18-24 h,152,14,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 2}"
2026-04,EXPLORATORY,65693,STARLINK-35060,24-36 h,152,2,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 2}"
2026-04,EXPLORATORY,60265,STARLINK-32120,0-6 h,150,18,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,60265,STARLINK-32120,6-9 h,150,32,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,60265,STARLINK-32120,9-12 h,150,28,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,60265,STARLINK-32120,12-18 h,150,63,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,60265,STARLINK-32120,18-24 h,150,7,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,60265,STARLINK-32120,24-36 h,150,2,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48458,STARLINK-2698,0-6 h,149,11,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48458,STARLINK-2698,6-9 h,149,20,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48458,STARLINK-2698,9-12 h,149,29,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48458,STARLINK-2698,12-18 h,149,73,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48458,STARLINK-2698,18-24 h,149,11,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,48458,STARLINK-2698,24-36 h,149,5,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,58380,STARLINK-30915,0-6 h,153,13,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,58380,STARLINK-30915,6-9 h,153,27,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,58380,STARLINK-30915,9-12 h,153,35,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,58380,STARLINK-30915,12-18 h,153,66,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,58380,STARLINK-30915,18-24 h,153,10,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,58380,STARLINK-30915,24-36 h,153,0,0,0,LIMITED_SUPPORT,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,44714,STARLINK-1008,0-6 h,152,6,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,44714,STARLINK-1008,6-9 h,152,16,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,44714,STARLINK-1008,9-12 h,152,18,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,44714,STARLINK-1008,12-18 h,152,78,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,44714,STARLINK-1008,18-24 h,152,19,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,44714,STARLINK-1008,24-36 h,152,9,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65686,STARLINK-35137,0-6 h,154,9,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 1}"
2026-05,EXPLORATORY,65686,STARLINK-35137,6-9 h,154,14,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 1}"
2026-05,EXPLORATORY,65686,STARLINK-35137,9-12 h,154,24,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 1}"
2026-05,EXPLORATORY,65686,STARLINK-35137,12-18 h,154,79,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 1}"
2026-05,EXPLORATORY,65686,STARLINK-35137,18-24 h,154,14,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 1}"
2026-05,EXPLORATORY,65686,STARLINK-35137,24-36 h,154,8,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 1}"
2026-05,EXPLORATORY,65421,STARLINK-35146,0-6 h,153,8,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5}"
2026-05,EXPLORATORY,65421,STARLINK-35146,6-9 h,153,27,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5}"
2026-05,EXPLORATORY,65421,STARLINK-35146,9-12 h,153,37,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5}"
2026-05,EXPLORATORY,65421,STARLINK-35146,12-18 h,153,64,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5}"
2026-05,EXPLORATORY,65421,STARLINK-35146,18-24 h,153,7,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5}"
2026-05,EXPLORATORY,65421,STARLINK-35146,24-36 h,153,5,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 5}"
2026-05,EXPLORATORY,65409,STARLINK-35022,0-6 h,154,10,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65409,STARLINK-35022,6-9 h,154,21,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65409,STARLINK-35022,9-12 h,154,28,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65409,STARLINK-35022,12-18 h,154,76,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65409,STARLINK-35022,18-24 h,154,6,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65409,STARLINK-35022,24-36 h,154,2,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-05,EXPLORATORY,65410,STARLINK-35024,0-6 h,154,16,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""NO_REFERENCE_WITHIN_3H"": 5, ""PEAK_OUT_OF_SUPPORT"": 4, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
